CpG_ID,Epi,Fib,Fat,IC
cg19984911,0.035733723,0.015591042,0.230503855,0.952423763
cg26598899,0.943536434,0.956716645,0.79228499,0.021852872
cg17518965,0.962956613,0.969414523,0.62902395,0.008432033
cg00921266,0.032259752,0.037250216,0.3634926,0.981563604
cg20695297,0.968057673,0.948412714,0.63073745,0.018267667
cg18982286,0.033731525,0.039707416,0.36336337,0.976813796
cg27215100,0.961720536,0.936303109,0.62718065,0.018049476
cg13493526,0.012861398,0.013034875,0.353954869,0.973891041
cg22980156,0.03895036,0.039636671,0.353561741,0.978187876
cg20944964,0.041402122,0.032951049,0.387847251,0.981724242
cg03190513,0.923797348,0.874040281,0.902230216,0.00230921
cg14083015,0.913032741,0.980608835,0.917978047,0.022483941
cg22216196,0.037300359,0.042003236,0.4069772,0.983271344
cg26357596,0.928599561,0.974318723,0.858597317,0.021884231
cg16555504,0.931462549,0.950558976,0.855981762,0.030359467
cg15314855,0.038120832,0.024267614,0.380025187,0.973850336
cg14818277,0.020779506,0.015590404,0.371527541,0.957211433
cg24459792,0.965115604,0.962413388,0.584216254,0.016187929
cg26118759,0.96901084,0.963585705,0.889599623,0.048022755
cg08767044,0.955306144,0.978359718,0.653966475,0.028450744
cg03331514,0.011819189,0.012607205,0.4212277,0.967716594
cg06267617,0.044711223,0.016016835,0.428335469,0.98563926
cg16622899,0.01658659,0.01585706,0.4753389,0.984393223
cg04869379,0.0155586,0.010922167,0.467113649,0.969074906
cg24002183,0.022978355,0.023692667,0.52589325,0.97510384
cg24301930,0.984832164,0.98481204,0.6615219,0.052472041
