disease_id,phase,time_range,substrate,disease_severity_class,mechanism,organ_pages_to_link,evidence_anchors,B_cells,naive_B_cells,memory_B_cells,plasma_cells,CD4_T_cells,CD8_T_cells,naive_CD4_T_cells,naive_CD8_T_cells,memory_CD4_T_cells,memory_CD8_T_cells,memory_T_cells_pooled,regulatory_T_cells,NK_cells,neutrophils,eosinophils,basophils,granulocytes_pooled,monocytes,macrophages_peripheral,microglia,kupffer_cells,pulmonary_macrophages,oral_macrophages,dendritic_cells,IC_immune_pooled,leukocyte_pooled,PBMC,Stage1_immune_pooled_Xu538,Stage1_immune_directional_panel,MPP,L_MPP,CMP,GMP,MEP,erythroblast,erythroid_progenitor,nRBC,megakaryocyte,OPC,NeuIm,HSPC_pooled,cortical_neurons,neurons_pooled,oligodendrocytes,cardiomyocytes,left_atrium,kera_diff,epi_upper,NeuMa,brain_pooled,skeletal_muscle,glia,astrocytes,breast_ductal,breast_lobular,breast_secretory_pooled,breast_LE,breast_BE,liver_hepatocytes,liver_bile_duct,cholangiocytes,pancreatic_beta_cells,pancreatic_acinar_cells,pancreatic_duct_cells,pancreatic_endocrine_pooled,pancreatic_exocrine_pooled,prostate_LE,prostate_BE,prostate_Fib,prostate_EC,prostate_SM,prostate_Leu,gastric_differentiated,gastric_antrum_diff,gastric_corpus_diff,gastric_fundus_diff,thyroid,esophageal_glandular,skin_melanocytes,head_neck_larynx_secretory,salivary,gastric_undifferentiated,gastric_antrum_undiff,gastric_corpus_undiff,gastric_fundus_undiff,colon_epithelial,small_intestine,rectal_epithelium,eso_basal,eso_epi_basal,eso_epi_stratified,eso_epi_suprabasal,lung_epithelial,lung_airway,kidney_epithelial,bladder_epithelial,bladder_loyfer_bulk,cervix_uterine,prostate_basal_cycling,breast_basal_cycling,skin_keratinocytes,pancreatic_ductal_cycling,head_neck_larynx,epithelial_cycling_pooled,fibroblasts,endothelial_cells,vascular_endothelial,adipocytes,smooth_muscle,cardiac_fibroblasts,cardiac_endothelial,cardiac_smooth_muscle,cardiac_stromal_pooled,pancreatic_stellate,hepatic_stellate,brain_astrocytes,osteoblasts,BMSC,placenta,mammary_stromal,stromal_pooled,HSC,stem_pluri
glioma_gbm,active,glioblastoma at diagnosis,whole_blood_buffy_coat,ACTIVE,pooled_positive_orthogonal_to_cellfraction,"terminal:cortical_neurons,immune:microglia","VAL-088 pre-surgery GBM d=+0.80; VAL-090 cortical-neuron d=+1.96; Gasparoni cortical_glia → Glia (terminal-class 12th cell type, post-immune-MCMC re-run pending)",,,,,+0.80,,,,,,,,,+1.0/+1.5,,,,,,+1.0/+2.0,,,,,,,,+0.80,,,,,,,,,,,,,,+1.96,,,,,,,,,,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glioma_gbm,tumor_tissue,TCGA-GBM tissue (GSE60274 Lai 2015),tumor_tissue,ACTIVE_TUMOR,pooled_positive_terminal_class_displacement,terminal:cortical_neurons,"VAL-089 GBM primary d=+0.243 wide CI; recurrent d=+1.167; spheres d=−1.805; Gasparoni cortical_glia → Glia (terminal-class 12th cell type, post-immune-MCMC re-run pending)",,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.243,,,,,,,,,,,,,,-2.81,,,,,,,,,,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leukemia_aml,pre_malignant_chip,CHIP precursor — years before AML,whole_blood_buffy_coat,PRE_MALIGNANT,pooled_positive_clonal_expansion,"progenitor:GMP,stem_adult:HSC",G-2026-P010 CHIP-to-AML serial trajectory prediction; pending VAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.3/+0.6,,+0.5/+1.0,,+0.5/+1.0,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.3/+0.7,
leukemia_aml,active,active AML (strongest single-cohort effect in cookbook),whole_blood_buffy_coat,URGENT_CLINICAL,pooled_positive_disease_in_readout_compartment,"progenitor:GMP,stem_adult:HSC","VAL-082 GSE62298 vs Italian healthy d=+3.71 [+3.23, +4.20] p<1e-50; ΔA=+0.1039; 98.5% above HC 95th %ile, 91.2% above 99th %ile",-0.5/-1.0,,,,-0.5/-1.0,-0.5/-1.0,,,,,,,-0.5/-1.0,+1.0/+2.0,,,,+1.0/+1.5,,,,,,,,,,+3.71,,+1.0/+2.0,,+2.0,+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,
leukemia_cml,active,CML (BCR::ABL1),whole_blood_buffy_coat,URGENT_CLINICAL,pooled_positive_disease_in_readout_compartment,"progenitor:GMP,stem_adult:HSC",heme-epic v0.1 myeloid arm pending validation,,,,,,,,,,,,,,+1.0/+2.0,,,,+0.5/+1.0,,,,,,,,,,+1.5/+2.5,,,,,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,
mds,active,myelodysplastic syndromes,whole_blood_buffy_coat,ACTIVE,pooled_positive_disease_in_readout_compartment,"progenitor:GMP,stem_adult:HSC",heme-epic v0.1 myeloid arm pending validation,,,,,,,,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,+1.0/+1.5,,,,,+0.5/+1.0,,,-0.5/-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.3/+0.7,
mpn,active,myeloproliferative neoplasms (PV/ET/PMF),whole_blood_buffy_coat,ACTIVE,pooled_positive_lineage_specific_expansion,"progenitor:MEP,progenitor:erythroid_progenitor,progenitor:megakaryocyte",heme-epic v0.1 myeloid arm pending validation,,,,,,,,,,,,,,+0.5/+1.0,,,,+0.5/+1.0,,,,,,,,,,+1.0/+1.5,,,,,,+0.5/+1.5,,+0.5/+2.0,,+0.5/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leukemia_b_all,active,B-cell ALL,whole_blood_buffy_coat,URGENT_CLINICAL,pooled_positive_lymphoid_lineage,"immune:B_cells,progenitor:L_MPP",MARLIN reference 686 B-ALL pending validation,+2.0,,,,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,+2.0,,,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leukemia_t_all,active,T-cell ALL,whole_blood_buffy_coat,URGENT_CLINICAL,pooled_positive_lymphoid_lineage,"immune:CD4_T_cells,immune:CD8_T_cells,progenitor:L_MPP",MARLIN 266 T-ALL pending validation,,,,,+1.5/+2.5,+1.5/+2.5,,,,,,,,,,,,,,,,,,,,,,+1.5/+2.5,,,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lymphoma_dlbcl,active,DLBCL (largest immune-class ΔA in framework),whole_blood_buffy_coat,URGENT_CLINICAL,pooled_positive_B_cell_dominant,"immune:B_cells,immune:memory_B_cells",heme-epic A≈1.13 ΔA=+0.203 (Chapuy 2018 n=48); largest immune-class ΔA in cookbook,+1.5/+2.5,,+0.5/+1.5,+0.0/+0.5,-0.3/+0.0,,,,,,,,,,,,,,,,,,,,,,,+1.5/+2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leukemia_cll,long_pre_dx,>10 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_positive_B_cell_dominant,"immune:B_cells,immune:memory_B_cells","EnviroGenomarkers Georgiadis 2017 n=347, 28 future-CLL 2-15.7yr pre-dx",+0.5/+1.0,,+0.3/+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leukemia_cll,active,active CLL (indolent),whole_blood_buffy_coat,ACTIVE,pooled_positive_B_cell_dominant,"immune:B_cells,immune:memory_B_cells",heme-epic A≈1.07 ΔA=+0.098,+1.0/+1.5,,+0.5/+1.0,,-0.3/+0.0,,,,,,,,,,,,,,,,,,,,,,,+1.0/+1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thymoma,active,thymoma (T-cell origin),whole_blood_buffy_coat,URGENT_CLINICAL,pooled_positive_T_cell_dominant,immune:CD8_T_cells,heme-epic A≈1.09 ΔA=+0.120 (TCGA-THYM n=120),-0.3/+0.0,,,,+0.5/+1.0,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,+1.0/+1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multiple_myeloma,pre_malignant_mgus,MGUS / smoldering myeloma,whole_blood_buffy_coat,PRE_MALIGNANT,pooled_positive_plasma_clonal_expansion,immune:plasma_cells,heme-epic v0.1 build-out pending,-0.3/+0.0,,,+0.5/+1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multiple_myeloma,active,active multiple myeloma,whole_blood_buffy_coat,URGENT_CLINICAL,pooled_positive_plasma_clonal_expansion,immune:plasma_cells,heme-epic Issue 002 framework calibration,-0.5/-1.0,-0.3/-0.7,,+1.5/+3.0,,,,,,,,,,,,,,,,,,,,,,,,+1.5/+3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alzheimers_disease,mid_pre_dx,5+ years before clinical diagnosis (steady rise predicted),whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_null_directional_pass_AD_instance,"immune:microglia,terminal:cortical_neurons",VAL-050 pooled NULL d=+0.077; VAL-051 directional 7-CpG Rule A AIBL d=+0.624; VAL-052 AddNeuroMed d=+0.33,,,,,,,,,,,,,,,,,,,,+0.3/+0.5,,,,,,,,+0.077,+0.3,,,,,,,,,,,,,+0.0/+0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alzheimers_disease,active,clinical AD (AIBL primary anchor),whole_blood_buffy_coat,ACTIVE,pooled_null_directional_pass_AD_instance,"immune:microglia,terminal:cortical_neurons","VAL-050 pooled NULL d=+0.077; VAL-051 directional 7-CpG Rule A AIBL holdout d=+0.624 (Female d=+0.71, Male d=+0.51); VAL-052 AddNeuroMed cross-platform raw d=+0.33, age-adjusted residual d=+0.12; VAL-053 sex-specific does not outperform unified; VAL-054b HC-permutation p=0.003; Gasparoni cortical_glia → Glia (terminal-class 12th cell type, post-immune-MCMC re-run pending); CPG-VAL-016 (2026-06-06) cross-disease universal alarm DIRECTIONAL: AIBL AD A_immune d=-0.36 (hypomethylation direction); informative sign-opposition vs breast pre-dx (+0.69/+0.22). Validates the disease-specific-direction framing — A_immune fires as alarm in BOTH AD and breast pre-dx with disease-specific direction; CPG-VAL-019 (2026-06-06) bidirectional decomposition PASS: AIBL d_up=+0.494, d_down=-0.515 (opposite signs both above 0.30 threshold), per-CpG concordance 7/7. Breast firing pattern differs from AIBL (delta|d_signed|=0.395). Operationalizes the bidirectional doctrine — never use pooled A_immune as sole metric",,,,,,,,,,,,,,,,,,,,+1.0/+2.0,,,,,,,,+0.077,+0.624,,,,,,,,,,,,,+0.0/+0.25,,,,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontotemporal_dementia,active,FTD (GSE53740 GIFT cohort),whole_blood_buffy_coat,ACTIVE,pooled_null_per_cpg_partial_preservation,"immune:microglia,terminal:cortical_neurons","VAL-057 GSE53740 FTD vs HC d=+0.19 (null); VAL-091 FTD specificity arm cortical-neuron d=+0.19; Gasparoni cortical_glia → Glia (terminal-class 12th cell type, post-immune-MCMC re-run pending)",,,,,,,,,,,,,,,,,,,,+0.3/+0.7,,,,,,,,+0.0/+0.3,+0.19,,,,,,,,,,,,,+0.19,,,,,,,,,,+0.0/+0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psp_cbd_tauopathies,active,PSP / CBD (tauopathies),whole_blood_buffy_coat,ACTIVE,directional_panel_partial_preservation,"immune:microglia,terminal:cortical_neurons","VAL-057 GSE53740 PSP/CBD raw d=+0.185 (largest), preserves 5/7 frozen directions; F=+0.460, M=+0.380; VAL-091 PSP/CBD cortical-neuron d=−0.51 (BELOW HC); Gasparoni cortical_glia → Glia (terminal-class 12th cell type, post-immune-MCMC re-run pending)",,,,,,,,,,,,,,,,,,,,+0.3/+0.7,,,,,,,,+0.013,+0.185,,,,,,,,,,,,,-0.51,,,,,,,,,,+0.3/+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pah,active,pulmonary arterial hypertension (cultured PEC substrate),cultured_pulmonary_endothelial,ACTIVE,substrate_cell_match_pure_signal,"stromal:vascular_endothelial,terminal:cardiomyocytes",VAL-109 GSE84395 cultured PECs n=39; control vs hPAH d=+0.65 / control vs iPAH d=+0.65; Caggiano heart d=+1.42 control vs iPAH (strongest); HeartRef CM d=−0.80 iPAH; Loyfer Vascular_endothelial_cells d=+0.83 hPAH,,,,,+0.65,,,,,,,,,,,,,,,,,,,,,,,+0.65,,,,,,,,,,,,,,,,,-0.80,+0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,,+0.79,,,,,,+1.42,,,,,,,,,,
aortic_dissection_BAV,active,"BAV+dilation, ascending aorta dissection",aortic_tissue,URGENT_CLINICAL,substrate_cell_mismatch_bulk_aorta_SMC_fibroblast_dominant,"immune:macrophages,stromal:fibroblasts",VAL-110 GSE84274 normal vs BAV+dilation d=+1.08 (strongest aortic); normal vs dissection d=+0.56; Caggiano fibroblast d=+2.10 (strongest tile); Caggiano endothelial d=+1.52; Caggiano heart d=+1.40; Caggiano macrophage d=+1.40; HeartRef CM d=−0.60; Vascular tile d=−0.04 (does not discriminate bulk aorta),,,,,+1.08,,,,,,,,,,,,,,+1.40/+1.61,,,,,+0.5/+1.0,,,,+1.08,,,,,,,,,,,,,,,,,-0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2.10,+1.52,-0.04,-0.88,+0.5/+1.5,,,,+1.40,,,,,,,,,,
ischemic_stroke,active,ischemic stroke 3-subtype on whole blood (biology-correct null),whole_blood_buffy_coat,ACTIVE,biology_correct_null_post_stroke_homogenization,,VAL-108 GSE69138 max |d|=0.167 across 3 TOAST subtypes (cardioembolic vs large-artery vs small-vessel); 3 atlases convergent null max |d|=0.19 in run-everything Phase C,,,,,,,,,,,,,,,,,,-0.17/+0.17,,,,,,,,,,-0.17/+0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crohns_disease,active,"active flare (Crohn's pathway, GSE87650)",whole_blood_sorted,ACTIVE,population_fraction_shift_T_up_myeloid_down_DISC_GE_005,cycling:colon,VAL-128 active IBD T-up/myeloid-down population-fraction-shift signature (Pattern 7),,,,,+1.64/+1.66,+1.70,+0.5/+1.0,+1.72,,,,,,-1.34,,,,-0.5/-1.0,-0.5/-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulcerative_colitis,active,active flare,whole_blood_sorted,ACTIVE,population_fraction_shift_T_up_myeloid_down_pattern,cycling:colon,pattern similar to Crohns; card development pending,,,,,+0.5/+1.5,+0.5/+1.5,,,,,,,,-0.5/-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rheumatoid_arthritis,active,active disease,whole_blood_buffy_coat,ACTIVE,pooled_positive_autoantibody_lineage,"immune:memory_B_cells,immune:plasma_cells",card development pending; clinical literature,,,+0.5/+1.5,+0.5/+1.5,,,,,,,,+0.3/+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lupus_sle,active,active disease,whole_blood_buffy_coat,ACTIVE,pooled_positive_autoantibody_lineage,"immune:memory_B_cells,immune:plasma_cells",card development pending; clinical literature,,-0.3/-0.7,+1.0/+2.0,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multiple_sclerosis,active,active disease + relapsing-remitting,whole_blood_buffy_coat,ACTIVE,pooled_positive_CNS_resident_inflammation,"immune:microglia,terminal:oligodendrocytes","card development pending; clinical literature; Gasparoni cortical_glia → Glia (terminal-class 12th cell type, post-immune-MCMC re-run pending)",,,+0.5/+1.0,,+0.5/+1.0,,,,,,,,,,,,,,,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,-0.5/-1.0,,,,,,,,-0.3/-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psoriasis,active,active disease,whole_blood_buffy_coat,ACTIVE,pooled_positive_T_cell_skin_hyperproliferation,"immune:regulatory_T_cells,terminal:kera_diff",card development pending,,,,,+0.3/+0.7,,,,,,,+0.3/+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,
parkinsons_disease,active,active disease (research-pending),whole_blood_buffy_coat,ACTIVE,placeholder_clinical_literature,"immune:microglia,terminal:cortical_neurons","card development pending; clinical literature; Gasparoni cortical_glia → Glia (terminal-class 12th cell type, post-immune-MCMC re-run pending)",,,,,,,,,,,,,,,,,,,,+0.5/+1.5,,,,,,,,,,,,,,,,,,,,,,+0.0/+0.5,,,,,,,,,,+0.3/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
als,active,active disease (research-pending),whole_blood_buffy_coat,ACTIVE,placeholder_clinical_literature,"immune:microglia,terminal:skeletal_muscle","terminal-class hidden disease pattern; card development pending; Gasparoni cortical_glia → Glia (terminal-class 12th cell type, post-immune-MCMC re-run pending)",,,,,,,,,,,,,,,,,,,,+0.5/+1.5,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,,,,,,,,,-0.5/-1.0,+0.3/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schizophrenia,active,active disease (no canonical EDEAR signature),whole_blood_buffy_coat,ACTIVE,placeholder_no_canonical_signature,immune:microglia,No cookbook validation; placeholder,,,,,,,,,,,,,,,,,,,,+0.0/+0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
major_depression,active,active disease (no canonical EDEAR signature),whole_blood_buffy_coat,ACTIVE,placeholder_no_canonical_signature,,No cookbook validation; placeholder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronic_hiv,chronic,chronic active HIV,whole_blood_buffy_coat,ACTIVE,lineage_specific_depletion_CD4_targeting,immune:naive_CD4_T_cells,clinical literature; HIV gp120-CD4 lineage selectivity,,,,,-0.5/-1.5,-0.0/-0.5,-1.0/-2.0,-0.0/-0.5,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronic_hepatitis_bc,chronic,chronic active hepatitis B/C,whole_blood_buffy_coat,ACTIVE,pooled_positive_with_hcc_pre_malignant_pathway,"secretory:liver,immune:plasma_cells,immune:kupffer_cells",clinical literature; HCC pre-malignant pathway,,-0.3/-0.7,,+0.5/+1.5,,,,,,,,,,,,,,,,,+0.5/+1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.0/+0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronic_cmv,chronic,chronic active CMV (memory inflation),whole_blood_buffy_coat,ACTIVE,memory_inflation_lineage_skew,immune:memory_T_cells_pooled,memory inflation literature,,,,,,,,-0.3/-0.7,,+1.0/+2.0,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronic_ebv,chronic,chronic active EBV,whole_blood_buffy_coat,ACTIVE,memory_inflation_lineage_skew,"immune:memory_B_cells,immune:memory_T_cells_pooled",clinical literature,,,+0.5/+1.5,,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recent_vaccination,context,within 6 weeks of vaccination,whole_blood_buffy_coat,NORMAL_VARIANT,context_driven_resolves,,normal vaccine response biology,,+0.5/+1.5,+0.3/+0.7,+0.5/+1.5,+0.3/+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recent_infection_bacterial,context,active acute bacterial infection,whole_blood_buffy_coat,NORMAL_VARIANT,context_driven_resolves,,normal infection response,,,,,+0.0/+0.5,,,,,,,,,+1.0/+2.0,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recent_infection_viral,context,active acute viral infection,whole_blood_buffy_coat,NORMAL_VARIANT,context_driven_resolves,,normal viral response,,,,,+0.5/+1.5,+0.5/+1.5,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
active_allergies,context,seasonal allergic response,whole_blood_buffy_coat,NORMAL_VARIANT,context_driven_resolves,,normal allergic response,,,,,,,,,,,,,,,+0.5/+1.5,+0.3/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pregnancy,context,pregnancy / post-partum (EDEAR DECLINES scoring),whole_blood_buffy_coat,NORMAL_VARIANT,context_DECLINED,,pregnancy-state baseline reference not in framework,,,,,,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
active_chemotherapy,treatment,active chemotherapy / immunosuppression / transplant,whole_blood_buffy_coat,NORMAL_VARIANT,expected_suppression_declared_treatment,,EXPECTED_SUPPRESSION mode,-1.0/-2.0,,,,-1.0/-2.0,-1.0/-2.0,,,,,,,-0.5/-1.5,-0.5/-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal_aging,chronic,chronological aging (annual drift 0.0000937 A-units/yr),whole_blood_buffy_coat,NORMAL_VARIANT,chronological_drift_thymic_involution,,"VAL-006 Hannum n=656; 1,075 yrs to A=1.05 cancer threshold; CPG-VAL-015 (2026-06-07 sealed) Hannum GSE40279 n=656 PASS — A_immune Pearson r=-0.197, p=3.69e-07; sex-symmetric (F: r=-0.199 p=2.30e-04; M: r=-0.210 p=1.68e-04); late-life acceleration rho=-0.854. Decade-medians PASS in independent public reference cohort; CPG-VAL-020 (2026-06-06 sealed commit 4c22f8e) Hannum full-chain reproduction — 19 deliverables, end-to-end pipeline reproduction including patient personal Cosmic Methylome Background rendering on the Hannum cohort. Hannum aging anchor SEALED.",,,,,,,-0.0/-0.3,-0.0/-0.3,,,+0.0/+0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
